species,photo,rock#,rock.circumference
arte,07139-NST,4,NA
arte,0730-NST,4,NA
pusa,pusa0701,4,2
ltdu,ltdu0712,4,2.5
coei,coei07999,4,0.5
coei,coei07998,4,5
coei,coei07997,4,5.5
coei,coei0794,4,1
coei,coei0790,4,5
coei,coei0702,4,4
arte,arte07998,4,2
arte,arte07997,4,NA
coei,6476,5,0.3
sagu,6460,5,1.8
sagu,6462,5,NA
sagu,6463,5,0.6
sagu,6464,5,NA
sagu,6469,5,NA
arte,6432,5,NA
arte,6435,5,NA
arte,6436,5,NA
arte,6437,5,NA
arte,6438,5,1.5
arte,6439,5,NA
arte,6440,5,NA
arte,6441,5,NA
arte,6442,5,NA
arte,6449,5,1.9
arte,6452,5,NA
arte,6453,5,0.5
arte,6454,5,NA
arte,6458,5,0.4
arte,6459,5,1.3
arte,6461,5,NA
arte,6465,5,0.5
arte,6467,5,0.5
arte,6468,5,0.7
arte,6477,5,0.7
coei,6433,5,NA
coei,6434,5,0.9
coei,6448,5,NA
coei,6450,5,NA
coei,6466,5,NA
coei,6494,5,0.3
coei,6495,5,0.8
coei,6496,5,1.1
coei,6497,5,0.7
coei,6499,5,NA
coei,6500,5,NA
coei,6501,5,0.8
coei,6503,5,1
coei,6504,5,1.6
rand,1126,5,5
rand,1121,5,1
rand,1116,5,2
rand,1111,5,NA
rand,1106,5,1
rand,1101,5,8.5
rand,1096,5,3
rand,1091,5,1.5
rand,1086,5,4.5
rand,1081,5,3.5
rand,1076,5,2.5
rand,1071,5,2.5
rand,1066,5,1
rand,1061,5,NA
rand,1056,5,4
rand,1050,5,4
rand,1045,5,2
rand,1040,5,1
rand,1035,5,2
rand,1030,5,5.5
rand,1025,5,4
rand,1020,5,2.5
rand,1015,5,NA
rand,1010,5,NA
rand,1004,5,1.5
rand,46-NST,5,3
rand,45-NST,5,4
rand,44-NST,5,1
rand,43-NST,5,NA
rand,42-NST,5,2.5
rand,41-NST,5,3
rand,40-NST,5,1
rand,39-NST,5,2
rand,38-NST,5,2.5
rand,37-NST,5,2
rand,36-NST,5,2.5
rand,35-NST,5,4
rand,34-NST,5,2.5
